SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
1,900,,,,1,1,World,0,World,2,Medium,1950,2477674.732,2499322.157,1245362.964,1253959.192,19.1661,99.3145,22.2243,43294.722,17.319,43294.85,1.732,40.02,92083.258,10629.041,36.837,4.8596,1.6382,28.945,105.4,48788.536,25784.509,23004.027,19.518,46.4643,44.5946,48.4411,47.0395,44.831,49.3734,11.2965,10.4672,12.039,5.0199,4.7308,5.2236,13109.145,143.3869,82837.349,19780.141,224.0098,371.9932,388.9779,354.7482,540.3848,580.7496,498.0396,240.3164,271.6253,208.1916,378.6968,430.2594,324.9308,0,0
1,900,,,,1,1,World,0,World,2,Medium,1951,2520969.582,2543130.38,1267473.182,1275657.198,19.502,99.3584,22.1716,44322.348,17.427,44321.597,1.743,39.7675,92836.9,10741.899,36.502,4.8269,1.643,28.91,105.4,48514.552,25505.184,23009.368,19.075,47.144,45.4026,48.9655,47.5028,45.471,49.6263,11.3369,10.5123,12.0705,5.0145,4.7347,5.2121,13086.528,141.309,83648.709,19825.046,219.1188,361.8185,375.8295,347.6746,529.1551,566.7283,490.1993,231.1772,258.0905,203.7797,368.3186,415.8362,319.3364,0,0
1,900,,,,1,1,World,0,World,2,Medium,1952,2565291.179,2590270.898,1291399.982,1298870.917,19.8635,99.4248,22.1083,49960.072,19.283,49959.439,1.929,35.933,97606.684,11231.717,37.672,5.0142,1.73,28.98,105.4,47646.612,24935.224,22711.388,18.389,48.2311,46.6241,49.8908,48.2552,46.4167,50.1512,11.5593,10.7121,12.3094,5.1412,4.8431,5.3525,13215.704,137.2952,88207.529,19875.696,212.1977,347.2697,357.673,336.8354,512.1586,546.3173,477.2639,218.6745,240.0344,197.1422,353.0546,395.5327,309.9103,0,0
1,900,,,,1,1,World,0,World,2,Medium,1953,2615250.618,2640278.797,1316659.222,1323619.574,20.247,99.4741,22.0364,50056.756,18.959,50056.357,1.896,36.5584,97555.839,11200.749,36.948,4.9366,1.717,28.928,105.4,47499.083,24806.138,22692.945,17.989,48.8024,47.2399,50.4067,48.6073,46.817,50.4431,11.6337,10.7784,12.3878,5.149,4.8486,5.3625,13117.346,134.4685,88348.382,19780.603,206.944,339.9678,349.2448,330.6815,502.9323,535.8289,469.5325,212.872,232.6019,193.0492,345.0826,385.8433,303.9053,0,0
1,900,,,,1,1,World,0,World,2,Medium,1954,2665306.975,2691979.339,1342923.171,1349056.168,20.6435,99.5454,21.9524,53345.249,19.812,53344.728,1.982,34.9721,100348.054,11471.273,37.269,5.0098,1.7626,28.943,105.4,47002.805,24539.831,22462.974,17.457,49.5919,48.0295,51.1894,49.0909,47.3293,50.8869,11.8152,10.9386,12.5849,5.2582,4.9476,5.4785,13122.414,131.7228,91065.389,19781.855,202.1803,330.1323,338.8165,321.4258,490.9939,523.1236,458.4842,205.7622,224.0498,187.4439,335.442,374.6576,295.9944,0,0
1,900,,,,1,1,World,0,World,2,Medium,1955,2718651.703,2746072.141,1370392.335,1375679.806,21.0583,99.6156,21.8448,54841.257,19.968,54840.876,1.997,34.7094,101807.356,11564.618,37.069,5.0115,1.7792,28.927,105.4,46966.099,24565.631,22400.468,17.101,50.1229,48.512,51.7731,49.3275,47.5209,51.1717,11.8815,10.962,12.6899,5.2884,4.96,5.522,13056.748,128.763,92595.163,19665.905,197.2761,323.1231,331.8976,314.2908,483.3478,516.0075,450.2701,201.9785,220.302,183.6225,330.37,369.9084,290.578,0,0
1,900,,,,1,1,World,0,World,2,Medium,1956,2773492.579,2801002.631,1398204.9,1402797.731,21.4795,99.6726,21.7422,55020.618,19.643,55020.104,1.964,35.2926,101827.191,11523.879,36.353,4.9393,1.7692,28.872,105.4,46806.573,24496.325,22310.248,16.71,50.6425,49.006,52.3187,49.5579,47.7279,51.4251,11.924,10.9772,12.7559,5.2787,4.9329,5.5255,12819.31,125.8388,92815.995,19374.102,192.4278,316.0888,324.8367,307.2624,475.641,508.4706,442.3947,197.9952,216.1681,179.7896,325.1602,364.6526,285.4192,0,0
1,900,,,,1,1,World,0,World,2,Medium,1957,2828512.683,2857866.857,1426956.255,1430910.602,21.9156,99.7236,21.6342,58708.839,20.537,58708.347,2.054,33.7462,105977.909,11871.441,37.073,5.0764,1.8274,28.912,105.4,47269.07,24758.646,22510.424,16.536,50.9448,49.2833,52.6474,49.6617,47.8078,51.5535,11.955,10.9769,12.8135,5.3377,4.9827,5.59,12970.293,123.7332,96756.356,19500.892,189.081,311.6982,320.4359,302.8614,471.6946,504.7744,438.1884,196.1071,214.1976,177.9881,323.1345,362.7584,283.2638,0,0
1,900,,,,1,1,World,0,World,2,Medium,1958,2887221.03,2916108.097,1456539.031,1459569.066,22.3622,99.7924,21.5319,57774.656,19.814,57774.134,1.981,34.9898,104557.392,11690.449,35.858,4.935,1.7915,28.816,105.3,46782.736,24528.202,22254.534,16.044,51.537,49.831,53.2832,50.0269,48.1331,51.956,12.1583,11.1449,13.0449,5.4543,5.0748,5.7229,12724.918,121.0959,95647.443,19171.649,184.5322,305.1622,314.1759,296.0245,463.4209,496.6579,429.7521,192.0574,210.2791,173.7882,316.7847,356.2815,277.048,0,0
1,900,,,,1,1,World,0,World,2,Medium,1959,2944995.164,2970292.188,1483988.508,1486303.68,22.7777,99.8442,21.4783,50594.592,17.036,50594.048,1.703,40.7015,101921.643,11514.159,34.32,4.7407,1.6619,28.68,105.3,51327.051,26899.305,24427.746,17.284,49.3453,47.6606,51.0815,49.1574,47.196,51.1749,11.8832,10.8764,12.7645,5.4038,5.033,5.666,13359.566,129.5833,92626.745,21160.301,203.9148,332.8527,342.741,322.8141,494.7276,528.8914,459.9117,205.0013,226.1025,183.6972,335.7761,378.1467,292.8177,0,0
1,900,,,,1,1,World,0,World,2,Medium,1960,2995589.212,3019233.434,1508544.522,1510688.911,23.153,99.8581,21.4613,47288.762,15.663,47288.444,1.566,44.2623,102262.439,11584.565,33.871,4.6955,1.5999,28.63,105.3,54973.677,28803.966,26169.711,18.208,47.6972,46.0358,49.4175,48.473,46.4594,50.5581,11.6957,10.674,12.5902,5.3701,4.9832,5.6425,13837.096,135.0843,92537.982,22514.7,217.3965,354.3477,364.6348,343.8954,518.6526,553.1928,483.2954,216.044,239.1971,192.5666,351.1638,395.4832,305.9639,0,0
1,900,,,,1,1,World,0,World,2,Medium,1961,3042877.656,3068370.609,1533166.886,1535203.724,23.5298,99.8673,21.4485,50986.67,16.617,50985.907,1.662,41.7056,100989.852,11608.613,32.914,4.5735,1.6301,28.522,105.3,50003.182,26232.774,23770.408,16.297,50.3587,48.6136,52.1529,49.6133,47.6043,51.6723,12.1297,11.0633,13.0558,5.5329,5.1254,5.8164,12575.446,124.2402,92153.476,19708.237,193.9914,320.8976,330.9077,310.6839,481.4408,515.7835,446.4715,199.9314,220.8395,178.7887,327.6718,369.6215,285.1946,0,0
1,900,,,,1,1,World,0,World,2,Medium,1962,3093863.563,3126686.743,1562522.051,1564164.691,23.977,99.895,21.3712,65646.912,20.982,65646.359,2.1,33.007,112053.316,12404.759,35.814,5.0301,1.8716,28.732,105.4,46406.404,24371.885,22034.519,14.832,53.1245,51.3166,54.9706,50.7332,48.7559,52.7388,12.405,11.2863,13.3745,5.5362,5.1052,5.8346,12249.068,112.864,103144.492,18038.979,170.7715,285.1344,294.2821,275.7689,441.2875,474.9778,407.2386,182.3875,200.2301,164.426,303.0781,342.2051,263.8437,0,0
1,900,,,,1,1,World,0,World,2,Medium,1963,3159509.922,3195779.247,1597443.477,1598335.771,24.5069,99.9442,21.2035,72539.147,22.689,72538.65,2.27,30.5351,119818.714,13149.185,37.477,5.3169,1.9902,28.818,105.4,47279.567,24835.053,22444.514,14.788,53.5761,51.7468,55.4417,50.9264,48.9328,52.9452,12.4918,11.3483,13.48,5.5837,5.1348,5.8915,12941.917,110.14,110523.86,18710.78,166.5515,279.778,288.9172,270.3922,435.2474,468.8185,401.3467,180.1072,197.7473,162.3178,299.5732,338.3261,260.7527,0,0
